"SaID","AccID","Longitude","Latitude","ASV37_bacteria_rhizosphere_CK_pred","ASV37_bacteria_rhizosphere_LN_pred","ASV37_bacteria_rhizosphere_LP_pred","ASV37_bacteria_root_CK_pred","ASV37_bacteria_root_LN_pred","ASV37_bacteria_root_LP_pred","ASV7_bacteria_rhizosphere_CK_pred","ASV7_bacteria_rhizosphere_LN_pred","ASV7_bacteria_root_D_pred","ASV7_bacteria_root_LN_pred"
"SEEDGWAS3021","CIMMYTMA-020924",-98.2,19.13333333,278.6248737,384.0775996,263.3149934,78.05011477,77.69224425,93.68955729,501.490927,803.8515,571.1415465,957.7671915
"SEEDGWAS3018","CIMMYTMA-020799",-98.3,19.25,278.5983602,384.0775732,263.3149919,74.48015,76.28713042,87.83149584,489.8315244,806.2587501,546.5954264,946.4529562
"SEEDGWAS4740","CIMMYTMA-020866",-98.227026,19.295124,275.5964799,384.0775667,263.3149984,74.48015,75.38049235,87.83149584,502.3017181,807.9195012,536.3864064,955.2498948
"SEEDGWAS3080","CIMMYTMA-024600",-98.38333333,19.26666667,278.6292721,384.0775831,263.3149826,76.38644493,78.69629445,85.77675651,503.4509422,802.5962627,574.9330664,946.3402349
"SEEDGWAS3078","CIMMYTMA-024586",-98.583348,19.578317,274.1831778,384.0775448,263.3149636,73.97160776,76.50174782,85.05845418,500.7423113,802.5525498,566.8480966,951.9330117
"SEEDGWAS4836","CIMMYTMA-025150",-98.583348,19.578317,274.1831778,384.0775448,263.3149636,73.97160776,76.50174782,85.05845418,500.7423113,802.5525498,566.8480966,951.9330117
"SEEDGWAS5090","CIMMYTMA-024041",-98.1,19.35,261.7622069,384.0775686,263.3149601,72.36294057,78.60747752,80.49364134,508.1817074,808.7613375,549.9861316,889.2933493
"SEEDGWAS3783","CIMMYTMA-024042",-98.255482,19.321451,283.0796529,384.0775717,263.314956,77.76516134,76.62702924,87.80709507,489.8315244,803.8515,557.048213,950.5874873
"SEEDGWAS2964","CIMMYTMA-018107",-98.3,19.25,278.5013439,384.0775742,263.3150002,77.76516134,77.76568209,87.80709507,494.7779915,808.2153828,557.202447,956.9940261
"SEEDGWAS4645","CIMMYTMA-018118",-98.513073,19.567345,274.1826992,384.077573,263.3149744,73.69228852,76.62423637,86.39503508,502.3017181,805.9525536,581.9452586,951.8795999
