,SaID,AccID,Longitude,Latitude,Ann.Prc,TN,PBR,,,,,,,,,,,,,,,,,,,,,,
149,SEEDGWAS1358,CIMMYTMA-003703,-87.99316,15.053429,2086,0.2,4.6,,,,,,,,,,,,,,,,,,,,,,
150,SEEDGWAS1359,CIMMYTMA-003707,-87.99316,15.053429,2086,0.2,4.6,,,,,,,,,,,,,,,,,,,,,,
151,SEEDGWAS1360,CIMMYTMA-003708,-88.003548,15.281744,1553,0.2,7.62,,,,,,,,,,,,,,,,,,,,,,
152,SEEDGWAS139,CIMMYTMA-002539,-98.905924,21.544818,1622,0.49,5.8,,,,,,,,,,,,,,,,,,,,,,
153,SEEDGWAS14,CIMMYTMA-000471,-96.354444,19.344444,1144,0.22,7.97,,,,,,,,,,,,,,,,,,,,,,
154,SEEDGWAS142,CIMMYTMA-002554,-97.129731,20.547635,1406,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
155,SEEDGWAS1429,CIMMYTMA-005164,-92.081027,14.857059,2770,0.11,5.1,,,,,,,,,,,,,,,,,,,,,,
156,SEEDGWAS143,CIMMYTMA-002561,-89.31613,19.841513,1040,0.75,5.33,,,,,,,,,,,,,,,,,,,,,,
157,SEEDGWAS1430,CIMMYTMA-005171,-91.3232,14.418766,2926,0.34,5.56,,,,,,,,,,,,,,,,,,,,,,
158,SEEDGWAS1432,CIMMYTMA-005175,-89.963493,14.94666,875,0.17,6.24,,,,,,,,,,,,,,,,,,,,,,
159,SEEDGWAS1434,CIMMYTMA-005186,-89.55,14.78333333,898,0.13,5.16,,,,,,,,,,,,,,,,,,,,,,
160,SEEDGWAS1435,CIMMYTMA-005197,-90.487282,15.092398,1127,0.17,7.62,,,,,,,,,,,,,,,,,,,,,,
161,SEEDGWAS1436,CIMMYTMA-005216,-89.438894,14.624426,807,0.05,7.02,,,,,,,,,,,,,,,,,,,,,,
162,SEEDGWAS1437,CIMMYTMA-005231,-89.1,15.266667,1655,0.13,5.68,,,,,,,,,,,,,,,,,,,,,,
163,SEEDGWAS1463,CIMMYTMA-005844,-97.61666667,16.11666667,1495,0.07,5.07,,,,,,,,,,,,,,,,,,,,,,
164,SEEDGWAS1464,CIMMYTMA-005845,-98.026611,16.343416,1470,0.07,5.07,,,,,,,,,,,,,,,,,,,,,,
165,SEEDGWAS1465,CIMMYTMA-005947,-98.026611,16.343416,1470,0.07,5.07,,,,,,,,,,,,,,,,,,,,,,
166,SEEDGWAS1466,CIMMYTMA-005950,-98.136052,16.539657,1618,0.07,5.07,,,,,,,,,,,,,,,,,,,,,,
167,SEEDGWAS1467,CIMMYTMA-005962,-97.95,17.03333333,1292,0.59,7.96,,,,,,,,,,,,,,,,,,,,,,
168,SEEDGWAS1468,CIMMYTMA-005979,-96.48333333,15.71666667,1228,0.12,20.17,,,,,,,,,,,,,,,,,,,,,,
169,SEEDGWAS1469,CIMMYTMA-005980,-96.3,15.78333333,978,0.59,20.17,,,,,,,,,,,,,,,,,,,,,,
170,SEEDGWAS1474,CIMMYTMA-007030,-105.2166667,21.1,1187,0.18,8.07,,,,,,,,,,,,,,,,,,,,,,
171,SEEDGWAS1476,CIMMYTMA-007032,-105.2166667,21.1,539,0.18,9.65,,,,,,,,,,,,,,,,,,,,,,
172,SEEDGWAS1477,CIMMYTMA-007033,-105.1666667,21.2,1225,0.18,11.11,,,,,,,,,,,,,,,,,,,,,,
173,SEEDGWAS1478,CIMMYTMA-007044,-105.1833333,20.81666667,1019,0.32,11.11,,,,,,,,,,,,,,,,,,,,,,
174,SEEDGWAS1479,CIMMYTMA-007046,-105.1833333,20.81666667,1019,0.32,11.11,,,,,,,,,,,,,,,,,,,,,,
175,SEEDGWAS1481,CIMMYTMA-007050,-104.915301,21.232846,1122,0.16,12.88,,,,,,,,,,,,,,,,,,,,,,
176,SEEDGWAS1482,CIMMYTMA-007082,-105.3333333,22.65,1118,0.08,20.15,,,,,,,,,,,,,,,,,,,,,,
177,SEEDGWAS1483,CIMMYTMA-007086,-105.3333333,22.65,1118,0.08,20.15,,,,,,,,,,,,,,,,,,,,,,
178,SEEDGWAS1484,CIMMYTMA-007089,-105.3333333,22.65,1118,0.08,20.15,,,,,,,,,,,,,,,,,,,,,,
179,SEEDGWAS1485,CIMMYTMA-007121,-106.44719,23.365893,804,0.08,14.5,,,,,,,,,,,,,,,,,,,,,,
180,SEEDGWAS1486,CIMMYTMA-007122,-106.303401,23.201203,797,0.08,20.49,,,,,,,,,,,,,,,,,,,,,,
181,SEEDGWAS1487,CIMMYTMA-007158,-107.2166667,24.71666667,783,0.08,20.47,,,,,,,,,,,,,,,,,,,,,,
182,SEEDGWAS1488,CIMMYTMA-007178,-107.562256,25.408895,759,0.12,10.97,,,,,,,,,,,,,,,,,,,,,,
183,SEEDGWAS1490,CIMMYTMA-007189,-108.639475,26.421574,555,0.12,22.51,,,,,,,,,,,,,,,,,,,,,,
184,SEEDGWAS1492,CIMMYTMA-007193,-108.6333333,26.63333333,680,0.12,22.51,,,,,,,,,,,,,,,,,,,,,,
185,SEEDGWAS1493,CIMMYTMA-007221,-108.2333333,25.81666667,685,0.12,22.51,,,,,,,,,,,,,,,,,,,,,,
186,SEEDGWAS1494,CIMMYTMA-007231,-106.983531,24.97268,771,0.16,10.97,,,,,,,,,,,,,,,,,,,,,,
187,SEEDGWAS1495,CIMMYTMA-007273,-109.3,28.11666667,555,0.32,19.09,,,,,,,,,,,,,,,,,,,,,,
188,SEEDGWAS1496,CIMMYTMA-007288,-108.931234,28.353628,707,0.16,22.43,,,,,,,,,,,,,,,,,,,,,,
189,SEEDGWAS15,CIMMYTMA-000474,-97.505195,20.998948,1294,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
190,SEEDGWAS1506,CIMMYTMA-008424,-89.513671,14.885899,832,0.13,5.16,,,,,,,,,,,,,,,,,,,,,,
191,SEEDGWAS1507,CIMMYTMA-008425,-89.55,14.783333,898,0.13,5.16,,,,,,,,,,,,,,,,,,,,,,
192,SEEDGWAS1552,CIMMYTMA-013323,-92.659404,15.332888,2309,0.5,8.98,,,,,,,,,,,,,,,,,,,,,,
193,SEEDGWAS1553,CIMMYTMA-013332,-100.5166667,18.23333333,979,0.04,13.24,,,,,,,,,,,,,,,,,,,,,,
194,SEEDGWAS1557,CIMMYTMA-013357,-87.93333333,15.8,2268,0.27,7.02,,,,,,,,,,,,,,,,,,,,,,
195,SEEDGWAS156,CIMMYTMA-003229,-96.87,20.32,1472,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
196,SEEDGWAS1560,CIMMYTMA-013796,-98.46634,16.504784,1175,0.32,6.9,,,,,,,,,,,,,,,,,,,,,,
197,SEEDGWAS157,CIMMYTMA-003231,-97.030722,20.385828,1504,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
198,SEEDGWAS158,CIMMYTMA-003234,-97.33333333,20.46666667,845,0.15,3.46,,,,,,,,,,,,,,,,,,,,,,
199,SEEDGWAS160,CIMMYTMA-003237,-97.114806,20.433609,1447,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
200,SEEDGWAS1605,CIMMYTMA-016169,-92.643647,15.323565,2352,0.5,8.98,,,,,,,,,,,,,,,,,,,,,,
